word,hint,difficulty
SYMPHONY,An elaborate multi-movement orchestral composition,hard
SYNDICATE,A group of individuals combined for a common purpose,hard
TABLE,A flat surface on legs used for eating or working,easy
TABLEAU,Living picture scene,hard
TABLET,A flat portable touchscreen computer,easy
TACITURN,Reserved; saying little,hard
TALON,Claw of a bird,easy
TANGENT,Line touching a curve,hard
TANTAMOUNT,Equivalent in seriousness or effect to,hard
TARN,Mountain lake,hard
TEA,A hot drink made by steeping dried leaves in boiling water,easy
TEAM,A group of people working together toward a shared goal,easy
TECTONIC,Relating to Earth’s crust,hard
TELESCOPE,Instrument for viewing distant stars,easy
TEMERITY,Excessive confidence or boldness,hard
TEMPERATE,Mild climate,easy
TEMPURA,Lightly battered fried dish,easy
TENNIS,Racket sport played across a net,easy
TERABYTE,A unit of digital data equal to one trillion bytes,hard
TERRACE,Stepped platform,easy
TETRIS,Classic block-stacking video game,easy
TEXAS,The Lone Star State of the USA,easy
THEATER,A building where plays or shows are performed,easy
THERMAL,Relating to heat,easy
THESIS,A statement or theory put forward to be proved,hard
THESPIAN,An actor; relating to drama and the theatre,hard
THICKET,Dense group of bushes,easy
THIRSTY,Feeling the need to drink,easy
THOR,The Marvel god of thunder,easy
THRILLER,A genre characterized by suspense and tension,easy
THUNDER,The loud rumbling sound following a lightning strike,easy
THURSDAY,The fourth day of the working week,easy
TICKET,A paper used to enter an event,easy
TIDAL,Relating to the rise and fall of sea levels,easy
TIGER,A large striped wild cat,easy
TIKTOK,App famous for short user-made video clips,easy
TIMES,The symbol used to indicate multiplication,easy
TINKER,To repair casually,easy
TITAN,The largest moon of Saturn,hard
TITANIC,Tragic ocean liner in a 1997 epic movie,easy
TOKYO,Capital city of Japan,easy
TOMATO,A red fruit commonly used as a vegetable in cooking,easy
TONY,Award for excellence in Broadway theatre,easy
TORNADO,A violently rotating column of air,easy
TORONTO,The largest city in Canada,easy
TORRENT,Strong flow,easy
TOURNAMENT,An organized series of matches in a sport,easy
TOWEL,A cloth used for drying after washing,easy
TRACTOR,Farm vehicle,easy
TRAIN,Rail vehicle pulled by a locomotive,easy
TRAJECTORY,Path of motion,hard
TRANSIENT,Lasting only for a short time,hard
TRAPEZOID,A four-sided shape with one pair of parallel sides,hard
TRASH,The storage location for deleted files on a computer,easy
TREACHEROUS,Guilty of or involving betrayal,hard
TRENCH,Deep ditch,easy
TRENDING,Currently popular on social media,easy
TREPIDATION,A feeling of fear or agitation about something,hard
TRIAD,A group or set of three,easy
TRIANGLE,A polygon with three sides and three angles,easy
TRIATHLON,Endurance race combining swimming; cycling; and running,hard
TRIBUTARY,Stream feeding a river,hard
TRILOGY,A set of three related books; films; or other works,easy
TRIVIAL,Of little value or importance,easy
TROPHY,A decorative object given to the winner of a competition,easy
TROPIC,Region near equator,easy
TRUCK,Large vehicle used for transporting goods,easy
TRUMPET,Brass musical instrument,easy
TUESDAY,The second day of the working week,easy
TUNDRA,A cold treeless region with frozen soil,easy
TURBINE,Rotating engine,hard
TYCOON,Wealthy businessperson,hard
UBIQUITOUS,Present everywhere at the same time,hard
UBIQUITY,The state of being everywhere at the same time,hard
ULTRAVIOLET,Type of light beyond the visible spectrum,hard
UMAMI,Savory taste,easy
UMBRA,The fully shaded inner part of a shadow,hard
UMBRELLA,Protection from the rain,easy
UMPIRE,An official who enforces the rules in baseball or cricket,easy
UNANIMOUS,Fully in agreement,hard
UNCOUTH,Lacking good manners or refinement,hard
UNDERCURRENT,Hidden influence,hard
UNDO,To reverse the most recent action on a computer,easy
UNICORN,Mythical one-horned horse,easy
UNIFORM,The standardized clothing worn by a sports team,easy
UPDRAFT,Rising air current,hard
UPLOAD,The process of sending data to the internet,easy
URANIUM,A heavy radioactive element used as nuclear fuel,hard
URANUS,The seventh planet from the sun; an ice giant,easy
URCHIN,Spiny sea creature,easy
USER,A person who uses a computer or software application,easy
USURP,Take a position of power or importance illegally,hard
UTOPIA,An imagined place of perfection,easy
VACATION,A trip or period taken away from home for rest or leisure,easy
VACCINE,A substance that stimulates immunity to a specific disease,easy
VACUUM,A space entirely devoid of matter,easy
VADER,Dark Lord of the Sith in Star Wars,easy
VAGABOND,Wanderer,hard
VALLEY,Low land between hills or mountains,easy
VALOR,Great courage in the face of danger,hard
VAMPIRE,A mythical creature that survives by drinking blood,easy
VAULT,Arched structure,easy
VECTOR,Quantity with direction,hard
VEHEMENT,Showing strong feeling; forceful,hard
VEIN,Tube carrying blood,easy
VELOCITY,Speed of something in a given direction,hard
VELODROME,An indoor banked track used for cycle racing,hard
VENTURE,Risky undertaking,easy
VENUE,The place or location where an event takes place,easy
VENUS,The brightest natural object in the night sky after the Moon,easy
VERGE,Edge or brink,hard
VERSATILE,Able to adapt to many different functions,easy
VERTEX,Corner point,easy
VERVE,Spirit and enthusiasm,hard
VESSEL,Ship or container,easy
VIAL,Small container,easy
VICTORY,Success in defeating an opponent or rival,easy
VIENNA,Capital of Austria known for classical music and coffee houses,hard
VIGILANT,Keeping careful watch for possible danger,hard
VILLAIN,The main evil character in a story,easy
VINDICATE,Clear someone of blame or suspicion,hard
VIRAL,Spreading rapidly across the internet,easy
VIRTUAL,Existing on a computer rather than in the physical world,easy
VIRTUOSO,A highly skilled musical performer,hard
VIRUS,A microscopic agent that replicates inside living cells,easy
VISTA,Wide scenic view,easy
VIVACIOUS,Attractively lively and animated,hard
VLOG,A blog in video format shared online,easy
VLOGGER,A person who creates and posts video journals online,easy
VOCIFEROUS,Vehement or clamorous,hard
VOLCANO,Mountain that erupts with lava,easy
VORTEX,A mass of whirling fluid or air,hard
WAFER,Thin slice,easy
WAITER,A man who serves food in a restaurant,easy
WAITRESS,A woman who serves food in a restaurant,easy
WANDERLUST,A strong desire to travel and explore,hard
WANE,To decrease,hard
WARDEN,Supervisor,easy
WATER,Clear liquid essential for life,easy
WATERFALL,Cascade of water,easy
WATERSHED,An area of land draining into a river or lake,hard
WEBSITE,A collection of related pages hosted on the internet,easy
WEDDING,A marriage ceremony,easy
WEDNESDAY,The middle day of the working week,easy
WEEK,A period of seven days,easy
WEIRD,Strange or uncanny,easy
WESTERN,A genre set in the American frontier era,easy
WHALE,The largest animal on Earth,easy
WHARF,Docking platform,easy
WHEAT,A cereal grain used to make flour; bread; and pasta,easy
WHEEDLE,Use flattery or coaxing to persuade someone,hard
WHIMSICAL,Playfully unusual,hard
WHIRLPOOL,Spinning water current,easy
WHISPER,A soft quiet way of speaking,easy
WICKED,Musical retelling of the witches of Oz,easy
WIFI,Wireless technology for connecting devices to the internet,easy
WILDFIRE,A large uncontrolled fire in nature,easy
WILLOW,Tree with drooping branches,easy
WINCH,Lifting device,hard
WIND,The natural movement of air from high to low pressure,easy
WINDOW,A transparent opening in a wall,easy
WINDOWS,The operating system made by Microsoft,easy
WINNER,The person or entry that receives a prize or award,easy
WINTER,The coldest season of the year,easy
WIRELESS,Communicating using radio waves rather than cables,easy
WISH,A desire or hope for something,easy
WISTFUL,Having a feeling of vague longing or regret,hard
WITCH,A woman said to practice magic or sorcery,easy
WITHER,To dry up,hard
WIZARD,A person with magical powers,easy
WOLF,Wild canine that hunts in packs,easy
WRATH,Extreme anger,easy
WRESTLING,Combat sport involving holds and throws,easy
WRETCHED,In a very unhappy or unfortunate state,easy
XBOX,Microsoft's line of home gaming consoles,easy
XENON,A heavy colorless noble gas,hard
XENOPHOBIA,Fear or dislike of people from other countries,hard
XYLOPHONE,Percussion instrument with wooden bars,easy
YACHT,A medium-sized sailboat for leisure or racing,easy
YAWN,To open one's mouth wide when tired,easy
YEAR,A period of 365 days or 366 in a leap year,easy
YEARNING,A feeling of intense longing for something,easy
YELLOW,The color of a lemon or the sun,easy
YESTERDAY,The day before today,easy
YIELD,To produce or provide a natural result,easy
YODA,Wise diminutive Jedi Master in Star Wars,easy
YONDER,At some distance,hard
YOUTHFUL,Young or seeming young,easy
YOUTUBE,The world's largest video sharing platform,easy
ZEAL,Great enthusiasm,easy
ZEALOT,A person who is fanatically committed to a cause,hard
ZEALOUS,Showing great energy or enthusiasm for a cause,hard
ZEBRA,Striped African equine,easy
ZELDA,Princess of Hyrule in Nintendo's adventure series,easy
ZEN,A state of calm attentiveness,easy
ZENITH,The highest point; peak or culmination,hard
ZEPHYR,A soft gentle breeze,hard
ZERO,The number representing nothing or an empty quantity,easy
ZEST,Citrus peel used for flavor,easy
ZIRCON,Mineral gemstone,hard
ZODIAC,A band of sky divided into twelve star signs,easy
ZOMBIE,A reanimated corpse from horror fiction,easy
ZOO,Place where wild animals are kept for public viewing,easy
ZOOLOGY,The scientific study of animals,hard
ZYGOTE,Fertilized cell,hard
